;UG;LOC;DA;TI;TF;TM
492;Santa Catarina;Total;Municipal;13,6;22,8;14,5
493;Santa Catarina;Urbana;Municipal;13,6;24,0;37,3
494;Santa Catarina;Rural;Municipal;12,9;15,7;6,5
495;Santa Catarina;Total;Privada;11,8;21,1;29,7
496;Santa Catarina;Urbana;Privada;11,8;21,1;29,5
497;Santa Catarina;Rural;Privada;12,9;22,6;44,0
498;Santa Catarina;Total;Pública;13,6;23,1;25,8
499;Santa Catarina;Urbana;Pública;13,6;24,2;26,2
500;Santa Catarina;Rural;Pública;12,9;15,4;18,1
501;Rio Grande do Sul;Total;Total;13,0;19,6;22,1
502;Rio Grande do Sul;Urbana;Total;13,1;20,8;22,3
503;Rio Grande do Sul;Rural;Total;10,9;12,1;19,0
504;Rio Grande do Sul;Total;Federal;6,1;29,1;27,4
505;Rio Grande do Sul;Urbana;Federal;6,1;29,1;26,6
506;Rio Grande do Sul;Rural;Federal;0,0;0,0;30,6
507;Rio Grande do Sul;Total;Estadual;9,8;19,1;21,3
508;Rio Grande do Sul;Urbana;Estadual;12,3;20,1;21,6
509;Rio Grande do Sul;Rural;Estadual;9,1;11,8;17,0
510;Rio Grande do Sul;Total;Municipal;13,7;19,0;20,2
511;Rio Grande do Sul;Urbana;Municipal;14,0;20,7;25,9
512;Rio Grande do Sul;Rural;Municipal;11,0;12,2;8,3
513;Rio Grande do Sul;Total;Privada;11,7;22,9;25,8
514;Rio Grande do Sul;Urbana;Privada;11,7;23,0;25,8
515;Rio Grande do Sul;Rural;Privada;10,3;9,2;23,9
516;Rio Grande do Sul;Total;Pública;13,7;19,1;21,6
517;Rio Grande do Sul;Urbana;Pública;14,0;20,5;21,8
518;Rio Grande do Sul;Rural;Pública;10,9;12,1;18,8
519;Mato Grosso do Sul;Total;Total;17,2;24,3;28,6
520;Mato Grosso do Sul;Urbana;Total;17,3;25,3;29,2
521;Mato Grosso do Sul;Rural;Total;15,3;18,2;22,3
522;Mato Grosso do Sul;Total;Federal;0,0;31,3;32,3
523;Mato Grosso do Sul;Urbana;Federal;0,0;31,3;31,8
524;Mato Grosso do Sul;Rural;Federal;0,0;0,0;34,9
525;Mato Grosso do Sul;Total;Estadual;22,1;28,9;28,6
526;Mato Grosso do Sul;Urbana;Estadual;22,1;30,1;29,5
527;Mato Grosso do Sul;Rural;Estadual;0,0;18,8;20,7
528;Mato Grosso do Sul;Total;Municipal;18,9;24,7;26,0
529;Mato Grosso do Sul;Urbana;Municipal;19,1;26,2;0,0
530;Mato Grosso do Sul;Rural;Municipal;15,3;18,0;26,0
531;Mato Grosso do Sul;Total;Privada;12,0;18,0;26,9
532;Mato Grosso do Sul;Urbana;Privada;12,0;17,9;26,8
533;Mato Grosso do Sul;Rural;Privada;15,2;26,4;31,8
534;Mato Grosso do Sul;Total;Pública;18,9;25,7;28,8
535;Mato Grosso do Sul;Urbana;Pública;19,1;27,1;29,6
536;Mato Grosso do Sul;Rural;Pública;15,3;18,1;22,0
537;Mato Grosso;Total;Total;18,7;22,5;25,6
538;Mato Grosso;Urbana;Total;19,1;24,2;27,4
539;Mato Grosso;Rural;Total;14,3;15,1;16,3
540;Mato Grosso;Total;Federal;0,0;0,0;29,1
541;Mato Grosso;Urbana;Federal;0,0;0,0;29,5
542;Mato Grosso;Rural;Federal;0,0;0,0;27,8
543;Mato Grosso;Total;Estadual;0,0;25,1;25,5
544;Mato Grosso;Urbana;Estadual;0,0;27,4;27,7
545;Mato Grosso;Rural;Estadual;0,0;15,4;15,3
546;Mato Grosso;Total;Municipal;19,8;22,2;0,0
547;Mato Grosso;Urbana;Municipal;20,4;24,2;0,0
548;Mato Grosso;Rural;Municipal;14,4;15,0;0,0
549;Mato Grosso;Total;Privada;13,1;18,4;24,4
550;Mato Grosso;Urbana;Privada;13,1;18,5;24,5
551;Mato Grosso;Rural;Privada;9,6;12,9;7,3
552;Mato Grosso;Total;Pública;19,8;23,3;25,7
553;Mato Grosso;Urbana;Pública;20,4;25,4;27,8
554;Mato Grosso;Rural;Pública;14,4;15,1;16,3
555;Goiás;Total;Total;17,3;24,1;28,7
556;Goiás;Urbana;Total;17,5;24,9;29,3
557;Goiás;Rural;Total;12,2;12,8;15,9
558;Goiás;Total;Federal;5,3;26,4;26,3
559;Goiás;Urbana;Federal;5,3;26,4;26,7
560;Goiás;Rural;Federal;0,0;0,0;25,1
561;Goiás;Total;Estadual;8,0;30,6;29,1
562;Goiás;Urbana;Estadual;8,0;31,3;29,7
563;Goiás;Rural;Estadual;0,0;15,1;13,6
564;Goiás;Total;Municipal;19,0;24,0;19,5
565;Goiás;Urbana;Municipal;19,3;25,3;24,0
566;Goiás;Rural;Municipal;12,2;12,3;7,6
567;Goiás;Total;Privada;13,7;18,8;27,4
568;Goiás;Urbana;Privada;13,7;18,8;27,5
569;Goiás;Rural;Privada;14,3;19,0;22,4
570;Goiás;Total;Pública;19,0;25,8;28,9
571;Goiás;Urbana;Pública;19,3;27,1;29,6
572;Goiás;Rural;Pública;12,2;12,7;15,5
573;Distrito Federal;Total;Total;16,6;22,2;28,9
574;Distrito Federal;Urbana;Total;16,6;22,3;29,1
575;Distrito Federal;Rural;Total;16,2;20,0;23,5
576;Distrito Federal;Total;Federal;0,0;31,5;30,2
577;Distrito Federal;Urbana;Federal;0,0;31,5;30,2
578;Distrito Federal;Rural;Federal;0,0;0,0;30,3
579;Distrito Federal;Total;Estadual;18,8;22,9;28,5
580;Distrito Federal;Urbana;Estadual;19,0;23,1;28,8
581;Distrito Federal;Rural;Estadual;16,3;19,9;20,7
582;Distrito Federal;Total;Privada;15,3;20,6;30,3
583;Distrito Federal;Urbana;Privada;15,3;20,6;30,2
584;Distrito Federal;Rural;Privada;15,3;24,8;38,6
585;Distrito Federal;Total;Pública;18,8;22,9;28,5
586;Distrito Federal;Urbana;Pública;19,0;23,1;28,8
587;Distrito Federal;Rural;Pública;16,3;19,9;22,3
588;;;;;;
589;;;;;;
590;;;;;;
